AÑO,FY,Compañía,Sociedad,Clase,Concepto 2,Fecha Inicio,Fecha Fin,Tasa,Moneda,Monto Emitido,Outstanding,Intereses,Amortización,Capital
2026,FY2027,5000 - Cresud,5000 - Cresud SACIF y A,XL,Capital,21/06/2026,21/12/2026,0.00%,Dólar Linked,38210127,12991443,0,34%,12991443.18
2026,FY2026,5000 - Cresud,5000 - Cresud SACIF y A,XL,Capital,21/12/2025,21/06/2026,0.00%,Dólar Linked,38210127,25600785,0,33%,12609341.91
2025,FY2026,5000 - Cresud,5000 - Cresud SACIF y A,XL,Capital,21/12/2022,21/12/2025,0.00%,Dólar Linked,38210127,38210127,0,33%,12609341.91
2026,FY2026,5000 - Cresud,5000 - Cresud SACIF y A,XLII,Capital,04/01/2026,04/05/2026,0.00%,Dólar Linked,30045566,10215492,0,34%,10215492.44
2026,FY2026,5000 - Cresud,5000 - Cresud SACIF y A,XLII,Capital,04/10/2025,04/01/2026,0.00%,Dólar Linked,30045566,20130529,0,33%,9915036.78
2025,FY2026,5000 - Cresud,5000 - Cresud SACIF y A,XLII,Capital,04/04/2023,04/10/2025,0.00%,Dólar Linked,30045566,30045566,0,33%,9915036.78
2027,FY2027,5000 - Cresud,5000 - Cresud SACIF y A,XLIV,Intereses + Capital,17/07/2026,17/01/2027,6.00%,USD MEP - ARGENTINA S/MULC,39765830,39765830,1202780,100%,39765830
2026,FY2027,5000 - Cresud,5000 - Cresud SACIF y A,XLIV,Intereses,17/01/2026,17/07/2026,6.00%,USD MEP - ARGENTINA S/MULC,39765830,39765830,1183170,,
2026,FY2026,5000 - Cresud,5000 - Cresud SACIF y A,XLIV,Intereses,17/07/2025,17/01/2026,6.00%,USD MEP - ARGENTINA S/MULC,39765830,39765830,1202780,,
2026,FY2027,5000 - Cresud,5000 - Cresud SACIF y A,XLV,Intereses + Capital,22/04/2026,22/08/2026,6.00%,USD Cable NY - S/MULC,10199068,10199068,204540,100%,10199068
2026,FY2026,5000 - Cresud,5000 - Cresud SACIF y A,XLV,Intereses,22/10/2025,22/04/2026,6.00%,USD Cable NY - S/MULC,10199068,10199068,305134,,
2025,FY2026,5000 - Cresud,5000 - Cresud SACIF y A,XLV,Intereses,22/04/2025,22/10/2025,6.00%,USD Cable NY - S/MULC,10199068,10199068,306810,,
2027,FY2028,5000 - Cresud,5000 - Cresud SACIF y A,XLVI,Intereses + Capital,18/01/2027,18/07/2027,1.50%,Dólar Linked,28553518,28553518,212391,100%,28553518
2027,FY2027,5000 - Cresud,5000 - Cresud SACIF y A,XLVI,Intereses,18/07/2026,18/01/2027,1.50%,Dólar Linked,28553518,28553518,215912,,
2026,FY2027,5000 - Cresud,5000 - Cresud SACIF y A,XLVI,Intereses,18/01/2026,18/07/2026,1.50%,Dólar Linked,28553518,28553518,212391,,
2026,FY2026,5000 - Cresud,5000 - Cresud SACIF y A,XLVI,Intereses,18/07/2025,18/01/2026,1.50%,Dólar Linked,28553518,28553518,215912,,
2028,FY2029,5000 - Cresud,5000 - Cresud SACIF y A,XLVII,Intereses + Capital,15/05/2028,15/11/2028,7.00%,USD MEP - ARGENTINA,64417023,64417023,2273127,100%,64417023
2028,FY2028,5000 - Cresud,5000 - Cresud SACIF y A,XLVII,Intereses,15/11/2027,15/05/2028,7.00%,USD MEP - ARGENTINA,64417023,64417023,2248419,,
2027,FY2028,5000 - Cresud,5000 - Cresud SACIF y A,XLVII,Intereses,15/05/2027,15/11/2027,7.00%,USD MEP - ARGENTINA,64417023,64417023,2273127,,
2027,FY2027,5000 - Cresud,5000 - Cresud SACIF y A,XLVII,Intereses,15/11/2026,15/05/2027,7.00%,USD MEP - ARGENTINA,64417023,64417023,2236065,,
2026,FY2027,5000 - Cresud,5000 - Cresud SACIF y A,XLVII,Intereses,15/05/2026,15/11/2026,7.00%,USD MEP - ARGENTINA,64417023,64417023,2273127,,
2026,FY2026,5000 - Cresud,5000 - Cresud SACIF y A,XLVII,Intereses,15/11/2025,15/05/2026,7.00%,USD MEP - ARGENTINA,64417023,64417023,2236065,,
2025,FY2026,5000 - Cresud,5000 - Cresud SACIF y A,XLVII,Intereses,15/05/2025,15/11/2025,7.00%,USD MEP - ARGENTINA,64417023,64417023,2273127,,
2028,FY2029,5006 - Cresud,5006 - Cresud SACIF y A,XLVIII,Intereses + Capital,11/01/2028,11/07/2028,8.00%,USD MEP - ARGENTINA,43656188,43656188,1741463,100%,43656188
2028,FY2028,5005 - Cresud,5005 - Cresud SACIF y A,XLVIII,Intereses,11/07/2027,11/01/2028,8.00%,USD MEP - ARGENTINA,43656188,43656188,1760600,,
2027,FY2028,5004 - Cresud,5004 - Cresud SACIF y A,XLVIII,Intereses,11/01/2027,11/07/2027,8.00%,USD MEP - ARGENTINA,43656188,43656188,1731895,,
2027,FY2027,5003 - Cresud,5003 - Cresud SACIF y A,XLVIII,Intereses,11/07/2026,11/01/2027,8.00%,USD MEP - ARGENTINA,43656188,43656188,1760600,,
2026,FY2027,5002 - Cresud,5002 - Cresud SACIF y A,XLVIII,Intereses,11/01/2026,11/07/2026,8.00%,USD MEP - ARGENTINA,43656188,43656188,1731895,,
2026,FY2026,5001 - Cresud,5001 - Cresud SACIF y A,XLVIII,Intereses,11/07/2025,11/01/2026,8.00%,USD MEP - ARGENTINA,43656188,43656188,1760600,,
2026,FY2026,5000 - Cresud,5000 - Cresud SACIF y A,XXXVIII,Intereses + Capital,03/01/2026,03/03/2026,8.00%,USD Cable NY,70567356,70567356,912542,100%,70567356
2026,FY2026,5000 - Cresud,5000 - Cresud SACIF y A,XXXVIII,Intereses,03/07/2025,03/01/2026,8.00%,USD Cable NY,70567356,70567356,2845894,,
2026,FY2026,5000 - Cresud,5000 - Cresud SACIF y A,XLIX,Intereses,02/09/2025,02/03/2026,7.25%,USD MEP - ARGENTINA,31306845,31306845,1125545,,
2026,FY2027,5001 - Cresud,5000 - Cresud SACIF y A,XLIX,Intereses,02/03/2026,02/09/2026,7.25%,USD MEP - ARGENTINA,31306845,31306845,1144201,,
2027,FY2027,5002 - Cresud,5000 - Cresud SACIF y A,XLIX,Intereses,02/09/2026,02/03/2027,7.25%,USD MEP - ARGENTINA,31306845,31306845,1125545,,
2027,FY2028,5003 - Cresud,5000 - Cresud SACIF y A,XLIX,Intereses + Capital,02/03/2027,02/09/2027,7.25%,USD MEP - ARGENTINA,31306845,31306845,1144201,100%,31306845
2026,FY2027,5000 - Cresud,5000 - Cresud SACIF y A,L,Intereses,10/12/2025,10/09/2026,7.25%,USD MEP - ARGENTINA,70381079,70381079,3830466,,
2027,FY2027,5000 - Cresud,5000 - Cresud SACIF y A,L,Intereses,10/09/2026,10/03/2027,7.25%,USD MEP - ARGENTINA,70381079,70381079,2530344,,
2027,FY2028,5000 - Cresud,5000 - Cresud SACIF y A,L,Intereses,10/03/2027,10/09/2027,7.25%,USD MEP - ARGENTINA,70381079,70381079,2572284,,
2028,FY2028,5000 - Cresud,5000 - Cresud SACIF y A,L,Intereses,10/09/2027,10/03/2028,7.25%,USD MEP - ARGENTINA,70381079,70381079,2544324,,
2028,FY2029,5000 - Cresud,5000 - Cresud SACIF y A,L,Intereses,10/03/2028,10/09/2028,7.25%,USD MEP - ARGENTINA,70381079,70381079,2572284,,
2029,FY2029,5000 - Cresud,5000 - Cresud SACIF y A,L,Intereses + Capital,10/09/2028,10/03/2029,7.25%,USD MEP - ARGENTINA,70381079,70381079,2530344,100%,70381079
2026,FY2027,5000 - Cresud,5000 - Cresud SACIF y A,LI,Intereses,20/01/2026,20/07/2026,5.75%,USD MEP - ARGENTINA,46778518,46778518,1333829,,
2027,FY2027,5000 - Cresud,5000 - Cresud SACIF y A,LI,Intereses + Capital,20/07/2026,20/01/2027,5.75%,USD MEP - ARGENTINA,46778518,46778518,1355936,100%,46778518
2027,FY2027,5000 - Cresud,5000 - Cresud SACIF y A,LII,Intereses,30/04/2026,30/01/2027,4.75%,USD MEP - ARGENTINA,41201813,41201813,1474517,,
2027,FY2027,5000 - Cresud,5000 - Cresud SACIF y A,LII,Intereses,30/01/2027,30/04/2027,4.75%,USD MEP - ARGENTINA,41201813,41201813,482611,,
2027,FY2028,5000 - Cresud,5000 - Cresud SACIF y A,LII,Intereses,30/04/2027,30/10/2027,4.75%,USD MEP - ARGENTINA,41201813,41201813,981219,,
2028,FY2028,5000 - Cresud,5000 - Cresud SACIF y A,LII,Intereses + Capital,30/10/2027,30/04/2028,4.75%,USD MEP - ARGENTINA,41201813,41201813,981219,100%,41201813
2027,FY2027,5000 - Cresud,5000 - Cresud SACIF y A,LIII,Intereses,30/04/2026,30/01/2027,6.25%,USD MEP - ARGENTINA,22998047,22998047,1082970,,
2027,FY2027,5000 - Cresud,5000 - Cresud SACIF y A,LIII,Intereses,30/01/2027,30/04/2027,6.25%,USD MEP - ARGENTINA,22998047,22998047,354422,,
2027,FY2028,5000 - Cresud,5000 - Cresud SACIF y A,LIII,Intereses,30/04/2027,30/10/2027,6.25%,USD MEP - ARGENTINA,22998047,22998047,720384,,
2028,FY2028,5000 - Cresud,5000 - Cresud SACIF y A,LIII,Intereses,30/10/2027,30/04/2028,6.25%,USD MEP - ARGENTINA,22998047,22998047,716994,,
2028,FY2029,5000 - Cresud,5000 - Cresud SACIF y A,LIII,Intereses,30/04/2028,30/10/2028,6.25%,USD MEP - ARGENTINA,22998047,22998047,720384,,
2029,FY2029,5000 - Cresud,5000 - Cresud SACIF y A,LIII,Intereses,30/10/2028,30/04/2029,6.25%,USD MEP - ARGENTINA,22998047,22998047,712782,,
2029,FY2030,5000 - Cresud,5000 - Cresud SACIF y A,LIII,Intereses,30/04/2029,30/10/2029,6.25%,USD MEP - ARGENTINA,22998047,22998047,720384,,
2030,FY2030,5000 - Cresud,5000 - Cresud SACIF y A,LIII,Intereses + Capital,30/10/2029,30/04/2030,6.25%,USD MEP - ARGENTINA,22998047,22998047,712782,100%,22998047
